full_organ,organ
FEMALE_MICE_PANCREAS_ISLET_CELL,PANCREAS_ISLET_CELL
MALE_MICE_PANCREAS_ISLET_CELL,PANCREAS_ISLET_CELL
FEMALE_RATS_PANCREAS_ISLET_CELL,PANCREAS_ISLET_CELL
MALE_RATS_PANCREAS_ISLET_CELL,PANCREAS_ISLET_CELL
MALE_RATS_PARATHYROID_GLAND,PARATHYROID_GLAND
FEMALE_MICE_PITUITARY_GLAND,PITUITARY_GLAND
MALE_MICE_PITUITARY_GLAND,PITUITARY_GLAND
FEMALE_RATS_PITUITARY_GLAND,PITUITARY_GLAND
MALE_RATS_PITUITARY_GLAND,PITUITARY_GLAND
MALE_MICE_PREPUTIAL_GLAND,PREPUTIAL_GLAND
MALE_RATS_PREPUTIAL_GLAND,PREPUTIAL_GLAND
MALE_RATS_PROSTATE_GLAND,PROSTATE_GLAND
MALE_MICE_SEMINAL_VESICLE,SEMINAL_VESICLE
MALE_RATS_SEMINAL_VESICLE,SEMINAL_VESICLE
FEMALE_MICE_SKIN,SKIN
MALE_MICE_SKIN,SKIN
FEMALE_RATS_SKIN,SKIN
MALE_RATS_SKIN,SKIN
FEMALE_MICE_SPLEEN,SPLEEN
MALE_MICE_SPLEEN,SPLEEN
FEMALE_RATS_SPLEEN,SPLEEN
MALE_RATS_SPLEEN,SPLEEN
FEMALE_MICE_SUBCUTANEOUS_TISSUE,SUBCUTANEOUS_TISSUE
MALE_MICE_SUBCUTANEOUS_TISSUE,SUBCUTANEOUS_TISSUE
FEMALE_RATS_SUBCUTANEOUS_TISSUE,SUBCUTANEOUS_TISSUE
MALE_RATS_SUBCUTANEOUS_TISSUE,SUBCUTANEOUS_TISSUE
MALE_RATS_TESTIS,TESTIS
MALE_RATS_THORACIC_CAVITY,THORACIC_CAVITY
MALE_RATS_THYMUS,THYMUS
FEMALE_RATS_THYROID_GLAND,THYROID_GLAND
MALE_RATS_THYROID_GLAND,THYROID_GLAND
FEMALE_MICE_THYROID_GLAND_CCELL,THYROID_GLAND_CCELL
FEMALE_RATS_THYROID_GLAND_CCELL,THYROID_GLAND_CCELL
MALE_RATS_THYROID_GLAND_CCELL,THYROID_GLAND_CCELL
FEMALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,THYROID_GLAND_FOLLICULAR_CELL
MALE_MICE_THYROID_GLAND_FOLLICULAR_CELL,THYROID_GLAND_FOLLICULAR_CELL
FEMALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,THYROID_GLAND_FOLLICULAR_CELL
MALE_RATS_THYROID_GLAND_FOLLICULAR_CELL,THYROID_GLAND_FOLLICULAR_CELL
FEMALE_MICE_URETER,URETER
MALE_MICE_URETER,URETER
FEMALE_RATS_URETER,URETER
MALE_RATS_URETER,URETER
FEMALE_MICE_URINARY_BLADDER,URINARY_BLADDER
MALE_MICE_URINARY_BLADDER,URINARY_BLADDER
FEMALE_RATS_URINARY_BLADDER,URINARY_BLADDER
MALE_RATS_URINARY_BLADDER,URINARY_BLADDER
FEMALE_MICE_URINARY_SYSTEM,URINARY_SYSTEM
MALE_MICE_URINARY_SYSTEM,URINARY_SYSTEM
FEMALE_MICE_UTERUS,UTERUS
FEMALE_RATS_UTERUS,UTERUS
FEMALE_MICE_UTERUSCERVIX,UTERUSCERVIX
FEMALE_RATS_UTERUSCERVIX,UTERUSCERVIX
FEMALE_MICE_VAGINA,VAGINA
FEMALE_MICE_VASCULAR_SYSTEM_HEART,VASCULAR_SYSTEM_HEART
MALE_MICE_VASCULAR_SYSTEM_HEART,VASCULAR_SYSTEM_HEART
FEMALE_MICE_VASCULAR_SYSTEM_LIVER,VASCULAR_SYSTEM_LIVER
MALE_MICE_VASCULAR_SYSTEM_LIVER,VASCULAR_SYSTEM_LIVER
FEMALE_RATS_VASCULAR_SYSTEM_LIVER,VASCULAR_SYSTEM_LIVER
FEMALE_MICE_VASCULAR_SYSTEM_NASAL_CAVITY,VASCULAR_SYSTEM_NASAL_CAVITY
